EVA a_down a_up a_left a_right
0 0.83357 0.86346 0.95434 0.85779
1 0.72532 0.72003 0.48968 0.92385
2 0.17782 0.46763 0.29865 0.62148
3 0.25148 0.67843 0.66639 0.42372
4 0.89121 0.80039 0.90682 0.73163
5 0.49083 0.28408 0.62816 0.51548
6 0.66392 0.52563 0.86292 0.57886
7 0.29757 0.13892 0.26136 0.26008
8 0.75861 0.81572 0.88003 0.84568
9 0.22683 0.21539 0.16171 0.18757
