0.1025597979	0.0734598333	0.0900268901	0.1184496418	0.1255770967	0.0856975217	0.0966650833	0.1187392853	0.1020194347	0.0977073997	0
0.0452722503	0.0604556995	0.0477837987	0.0519001579	0.0408205442	0.0494835408	0.0460868054	0.0488128115	0.0515890748	0.0525160653	1
0.0636207111	0.0584344806	0.0599455475	0.0632969864	0.0676096899	0.0574926948	0.0666863993	0.0589322561	0.0608647476	0.0614327047	2
0.0748528855	0.0631534376	0.0695842920	0.0781586606	0.0818948499	0.0669584175	0.0756574465	0.0753260805	0.0733332198	0.0725750392	3
0.0750217085	0.0652874006	0.0688445531	0.0797324332	0.0819777552	0.0676221287	0.0744626459	0.0784555976	0.0743109180	0.0726153438	4
0.0714461272	0.0650907572	0.0648319914	0.0756346850	0.0761468457	0.0653549374	0.0724206685	0.0754158586	0.0711179052	0.0699538670	5
0.0694281292	0.0630864359	0.0601158629	0.0726486472	0.0718045326	0.0629558503	0.0709494263	0.0710178754	0.0698494897	0.0681178334	6
0.0651600458	0.0593812989	0.0497546540	0.0710275914	0.0686749149	0.0566575276	0.0627120384	0.0696020776	0.0655055771	0.0600005258	7
0.0571986304	0.0567176586	0.0423216775	0.0624999733	0.0565721110	0.0505779672	0.0589170476	0.0651566854	0.0581716210	0.0548544187	8
0.0549286697	0.0557182988	0.0403768433	0.0587384999	0.0515299913	0.0492303533	0.0617748613	0.0579152368	0.0576889396	0.0567467053	9
0.0564098815	0.0543123464	0.0354883460	0.0620100786	0.0542866342	0.0477820910	0.0641064421	0.0572093535	0.0600523838	0.0574913782	10
0.0562675554	0.0511563532	0.0269220888	0.0647175261	0.0539550817	0.0429824952	0.0644740869	0.0597027339	0.0603943277	0.0551695959	11
0.0535753893	0.0459417627	0.0180282683	0.0655131202	0.0499514008	0.0349376271	0.0631644700	0.0606958536	0.0585269256	0.0499403415	12
0.0482366009	0.0392461390	0.0119197296	0.0649533199	0.0427555940	0.0258053209	0.0605076900	0.0598995482	0.0545776159	0.0435666993	13
0.0411108708	0.0321702644	0.0084376344	0.0632476770	0.0350804885	0.0190024719	0.0582375026	0.0575686181	0.0500048203	0.0388373445	14
0.0345441522	0.0250033161	0.0054879717	0.0619075990	0.0301278857	0.0137471608	0.0570587539	0.0540275980	0.0465136164	0.0339795743	15
0.0281322573	0.0179230859	0.0034164460	0.0619718775	0.0248771033	0.0090147045	0.0557820450	0.0506487133	0.0428023697	0.0274777190	16
